species_id,short_code,display_name,common_name,scientific_name,profile_url,category,source_page
africanized-honey-bee,a7782216,Africanized Honeybee (Apis mellifera scutellata),Africanized Honeybee,Apis mellifera scutellata,https://dlnr.hawaii.gov/hisc/info/species/africanized-honey-bee,Invertebrates,invasive_species_profiles
apple-snail,5cc941e5,Apple Snail (Pomacea canaliculata),Apple Snail,Pomacea canaliculata,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/apple-snail,Invertebrates,invasive_species_profiles
coconut-rhinoceros-beetle,5b8a7ebd,Coconut Rhinoceros Beetle (Oryctes rhinoceros),Coconut Rhinoceros Beetle,Oryctes rhinoceros,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/coconut-rhinoceros-beetle,Invertebrates,invasive_species_profiles
little-fire-ant-lfa,1ddf7eba,Little Fire Ant (Wasmannia auropunctata),Little Fire Ant,Wasmannia auropunctata,https://dlnr.hawaii.gov/hisc/little-fire-ant-lfa,Invertebrates,invasive_species_profiles
mosquitos,7acea384,Mosquitos,Mosquitos,,https://dlnr.hawaii.gov/hisc/mosquitos,Invertebrates,invasive_species_profiles
naio-thrips,b71918c6,Naio Thrips (Klambothrips myopori),Naio Thrips,Klambothrips myopori,https://dlnr.hawaii.gov/hisc/info/species/naio-thrips,Invertebrates,invasive_species_profiles
nettle-caterpillar,2da3647d,Nettle Caterpillar (Darna pallivitta),Nettle Caterpillar,Darna pallivitta,https://dlnr.hawaii.gov/hisc/info/species/nettle-caterpillar,Invertebrates,invasive_species_profiles
ramie-moth,7e397b82,Ramie moth (Arcte coerula),Ramie moth,Arcte coerula,https://dlnr.hawaii.gov/hisc/ramie-moth,Invertebrates,invasive_species_profiles
rat-lungworm-angiostrongylus-cantonensis,ec6eade8,Rat Lungworm (Angiostrongylus cantonensis – parasitic nematode (roundworm parasite)),Rat Lungworm,Angiostrongylus cantonensis – parasitic nematode (roundworm parasite),https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/rat-lungworm-angiostrongylus-cantonensis,Invertebrates,invasive_species_profiles
red-imported-fire-ant-rifa,3cfff1e0,Red Imported Fire Ant (Solenopsis invicta),Red Imported Fire Ant,Solenopsis invicta,https://dlnr.hawaii.gov/hisc/red-imported-fire-ant-rifa,Invertebrates,invasive_species_profiles
two-lined-spittlebug,ec9a39f5,Two-lined spittlebug (Prosapia bicincta),Two-lined spittlebug,Prosapia bicincta,https://dlnr.hawaii.gov/hisc/two-lined-spittlebug,Invertebrates,invasive_species_profiles
